geo_type,name,alternative_name,region,country,date,driving,walking,transit
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-13,109.49,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-14,145.83,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-15,153.28,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-16,141.24,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-17,107.14,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-18,115.75,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-19,107.98,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-20,118.72,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-21,131.6,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-22,133.68,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-23,157.87,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-24,122.05,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-25,116.63,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-26,116.21,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-27,118.61,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-28,127.89,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-29,143.59,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-30,150.47,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-31,145.93,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-01,142.91,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-02,183.84,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-03,137.59,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-04,139.83,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-05,168.98,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-06,191.76,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-07,137.85,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-08,139.26,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-09,144.37,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-10,148.8,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-11,149.53,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-12,176.12,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-13,190.88,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-14,149.11,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-15,143.59,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-16,149.74,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-17,161.42,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-18,172.21,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-19,185.45,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-20,202.14,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-21,146.3,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-22,145.99,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-23,139.36,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-24,159.8,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-25,204.59,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-26,220.39,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-27,239.36,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-28,179.77,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-29,180.29,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-06-30,182.64,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-01,181.86,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-02,183.94,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-03,251.36,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-04,264.39,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-05,185.77,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-06,161.05,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-07,169.29,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-08,193.27,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-09,231.18,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-10,257.51,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-11,217.26,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-12,182.64,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-13,189.68,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-14,205.53,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-15,203.7,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-16,231.91,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-17,268.67,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-18,242.75,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-19,216.89,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-20,219.4,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-21,211.16,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-22,227.16,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-23,270.96,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-24,329.41,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-25,341.71,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-26,254.43,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-27,241.24,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-28,271.06,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-29,275.34,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-30,350.21,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-07-31,410.95,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-01,403.91,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-02,278.52,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-03,289.31,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-04,312.04,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-05,314.03,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-06,385.14,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-07,502.76,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-08,595.72,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-09,388.79,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-10,396.66,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-11,386.5,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-12,413.56,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-13,462.62,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-14,534.72,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-15,507.72,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-16,539.94,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-17,452.29,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-18,443.64,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-19,420.02,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-20,461.94,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-21,572.05,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-22,474.56,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-23,384.46,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-24,310.79,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-25,312.1,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-26,313.24,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-27,324.45,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-28,380.34,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-29,414.13,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-30,253.65,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-08-31,222.78,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-01,219.71,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-02,220.86,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-03,220.23,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-04,274.82,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-05,256.83,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-06,214.49,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-07,197.39,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-08,191.61,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-09,205.58,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-10,219.24,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-11,249.22,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-12,246.09,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-13,175.13,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-09-14,167.15,<undefined>,<undefined>
