geo_type,name,alternative_name,region,country,date,driving,walking
city,Catania,<undefined>,Sicily Region,Italy,2021-06-28,152.47,133.62
city,Catania,<undefined>,Sicily Region,Italy,2021-06-29,145,143.78
city,Catania,<undefined>,Sicily Region,Italy,2021-06-30,153.67,140.02
city,Catania,<undefined>,Sicily Region,Italy,2021-07-01,161.19,148.1
city,Catania,<undefined>,Sicily Region,Italy,2021-07-02,160.98,152.72
city,Catania,<undefined>,Sicily Region,Italy,2021-07-03,164.12,169.25
city,Catania,<undefined>,Sicily Region,Italy,2021-07-04,173.82,149.85
city,Catania,<undefined>,Sicily Region,Italy,2021-07-05,158.93,161.99
city,Catania,<undefined>,Sicily Region,Italy,2021-07-06,154.97,155.7
city,Catania,<undefined>,Sicily Region,Italy,2021-07-07,150.64,148.06
city,Catania,<undefined>,Sicily Region,Italy,2021-07-08,158.18,171.63
city,Catania,<undefined>,Sicily Region,Italy,2021-07-09,168.43,183.02
city,Catania,<undefined>,Sicily Region,Italy,2021-07-10,168.93,183.4
city,Catania,<undefined>,Sicily Region,Italy,2021-07-11,148.33,158
city,Catania,<undefined>,Sicily Region,Italy,2021-07-12,154.74,172.64
city,Catania,<undefined>,Sicily Region,Italy,2021-07-13,165.96,179.41
city,Catania,<undefined>,Sicily Region,Italy,2021-07-14,166.37,181.65
city,Catania,<undefined>,Sicily Region,Italy,2021-07-15,173.81,182.65
city,Catania,<undefined>,Sicily Region,Italy,2021-07-16,176.49,205.7
city,Catania,<undefined>,Sicily Region,Italy,2021-07-17,176.28,220.66
city,Catania,<undefined>,Sicily Region,Italy,2021-07-18,165.95,199.78
city,Catania,<undefined>,Sicily Region,Italy,2021-07-19,172.97,209.34
city,Catania,<undefined>,Sicily Region,Italy,2021-07-20,180.9,206.37
city,Catania,<undefined>,Sicily Region,Italy,2021-07-21,175.35,214.71
city,Catania,<undefined>,Sicily Region,Italy,2021-07-22,179.95,215.64
city,Catania,<undefined>,Sicily Region,Italy,2021-07-23,195.04,237.08
city,Catania,<undefined>,Sicily Region,Italy,2021-07-24,196.4,240.32
city,Catania,<undefined>,Sicily Region,Italy,2021-07-25,191.54,209.31
city,Catania,<undefined>,Sicily Region,Italy,2021-07-26,186.77,234.92
city,Catania,<undefined>,Sicily Region,Italy,2021-07-27,189.76,237.86
city,Catania,<undefined>,Sicily Region,Italy,2021-07-28,191.21,226.21
city,Catania,<undefined>,Sicily Region,Italy,2021-07-29,194.87,219.88
city,Catania,<undefined>,Sicily Region,Italy,2021-07-30,222.61,235.55
city,Catania,<undefined>,Sicily Region,Italy,2021-07-31,210.66,253.76
city,Catania,<undefined>,Sicily Region,Italy,2021-08-01,195.68,224.72
city,Catania,<undefined>,Sicily Region,Italy,2021-08-02,195.3,248.55
city,Catania,<undefined>,Sicily Region,Italy,2021-08-03,194.83,267.42
city,Catania,<undefined>,Sicily Region,Italy,2021-08-04,205.43,253.05
city,Catania,<undefined>,Sicily Region,Italy,2021-08-05,206.14,279.52
city,Catania,<undefined>,Sicily Region,Italy,2021-08-06,214.81,307.89
city,Catania,<undefined>,Sicily Region,Italy,2021-08-07,234.54,313.1
city,Catania,<undefined>,Sicily Region,Italy,2021-08-08,218.16,269.36
city,Catania,<undefined>,Sicily Region,Italy,2021-08-09,212.2,289.69
city,Catania,<undefined>,Sicily Region,Italy,2021-08-10,229.02,301.3
city,Catania,<undefined>,Sicily Region,Italy,2021-08-11,203.04,277.03
city,Catania,<undefined>,Sicily Region,Italy,2021-08-12,216.93,293.63
city,Catania,<undefined>,Sicily Region,Italy,2021-08-13,218.47,285.22
city,Catania,<undefined>,Sicily Region,Italy,2021-08-14,227.18,296.02
city,Catania,<undefined>,Sicily Region,Italy,2021-08-15,182.61,248.36
city,Catania,<undefined>,Sicily Region,Italy,2021-08-16,235.66,293.41
city,Catania,<undefined>,Sicily Region,Italy,2021-08-17,234.95,320.77
city,Catania,<undefined>,Sicily Region,Italy,2021-08-18,232.66,305.62
city,Catania,<undefined>,Sicily Region,Italy,2021-08-19,224.56,281.46
city,Catania,<undefined>,Sicily Region,Italy,2021-08-20,220.33,295.98
city,Catania,<undefined>,Sicily Region,Italy,2021-08-21,218.08,290.51
city,Catania,<undefined>,Sicily Region,Italy,2021-08-22,191.63,234.51
city,Catania,<undefined>,Sicily Region,Italy,2021-08-23,203.46,271.22
city,Catania,<undefined>,Sicily Region,Italy,2021-08-24,194.95,257.71
city,Catania,<undefined>,Sicily Region,Italy,2021-08-25,186.45,235.29
city,Catania,<undefined>,Sicily Region,Italy,2021-08-26,197.75,250.04
city,Catania,<undefined>,Sicily Region,Italy,2021-08-27,191.91,232.54
city,Catania,<undefined>,Sicily Region,Italy,2021-08-28,193.4,252.42
city,Catania,<undefined>,Sicily Region,Italy,2021-08-29,175.92,197.17
city,Catania,<undefined>,Sicily Region,Italy,2021-08-30,184.67,209.31
city,Catania,<undefined>,Sicily Region,Italy,2021-08-31,176.09,220.25
city,Catania,<undefined>,Sicily Region,Italy,2021-09-01,186.53,233.32
city,Catania,<undefined>,Sicily Region,Italy,2021-09-02,184.26,226.32
city,Catania,<undefined>,Sicily Region,Italy,2021-09-03,185.46,229.64
city,Catania,<undefined>,Sicily Region,Italy,2021-09-04,178.54,247.36
