geo_type,name,alternative_name,region,country,date,driving,walking
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-10,19.12,28.42
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-11,17.11,25.05
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-12,11.91,14.62
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-13,15.97,20.8
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-14,20.04,37.17
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-15,20.22,33.11
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-16,19.94,25.71
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-17,21.02,32.56
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-18,19.94,34.76
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-19,20.58,30.86
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-20,18.98,25.02
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-21,21.81,29.64
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-22,23.28,35.23
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-23,21.75,34.54
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-24,22.76,38.23
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-25,21.61,42.85
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-26,23.79,40.57
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-27,22.27,28.76
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-28,22.28,29.8
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-29,23.08,33.27
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-30,22.23,31.52
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-05-01,20.64,40.65
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-05-02,24.59,54.82
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-05-03,26.56,59.27
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-05-04,30.39,46.99
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-05-05,28.88,39.77
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-05-06,31.64,45.74
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-05-07,31.61,48.26
